"YR";"MON";"TOTAL";"ClimAdjust";"ANOM"
2010;1;28,06;26,45;1,61
2010;2;28,01;26,66;1,35
2010;3;28,19;27,21;0,98
2010;4;28,21;27,73;0,48
2010;5;27,72;27,85;-0,13
2010;6;27,04;27,65;-0,61
2010;7;26,22;27,26;-1,04
2010;8;25,47;26,91;-1,44
2010;9;25,12;26,8;-1,67
2010;10;25,03;26,75;-1,73
2010;11;25,06;26,75;-1,69
2010;12;25;26,65;-1,65
2011;1;25,01;26,45;-1,44
2011;2;25,66;26,66;-1
2011;3;26,38;27,21;-0,83
2011;4;27,07;27,73;-0,67
2011;5;27,41;27,85;-0,43
2011;6;27,35;27,65;-0,3
2011;7;26,87;27,26;-0,39
2011;8;26,21;26,91;-0,7
2011;9;25,92;26,8;-0,88
2011;10;25,67;26,75;-1,09
2011;11;25,52;26,75;-1,23
2011;12;25,55;26,65;-1,11
2012;1;25,68;26,45;-0,77
2012;2;26,1;26,66;-0,57
2012;3;26,69;27,21;-0,52
2012;4;27,33;27,73;-0,4
2012;5;27,62;27,85;-0,23
2012;6;27,75;27,65;0,1
2012;7;27,54;27,26;0,28
2012;8;27,32;26,91;0,41
2012;9;27,1;26,8;0,3
2012;10;26,98;26,75;0,22
2012;11;26,86;26,75;0,11
2012;12;26,35;26,65;-0,3
2013;1;26,02;26,45;-0,43
2013;2;26,25;26,66;-0,41
2013;3;27,04;27,21;-0,16
2013;4;27,58;27,73;-0,15
2013;5;27,53;27,85;-0,31
2013;6;27,3;27,65;-0,35
2013;7;26,9;27,26;-0,36
2013;8;26,47;26,91;-0,44
2013;9;26,53;26,8;-0,26
2013;10;26,52;26,75;-0,24
2013;11;26,56;26,75;-0,19
2013;12;26,43;26,65;-0,22
2014;1;26,06;26,45;-0,39
2014;2;26,15;26,66;-0,51
2014;3;27,02;27,21;-0,19
2014;4;27,91;27,73;0,18
2014;5;28,26;27,85;0,41
2014;6;27,96;27,65;0,31
2014;7;27,23;27,26;-0,03
2014;8;26,83;26,91;-0,08
2014;9;27,01;26,8;0,21
2014;10;27,16;26,75;0,4
2014;11;27,46;26,75;0,71
2014;12;27,32;26,65;0,66
2015;1;27,06;26,45;0,61
2015;2;27,18;26,66;0,52
2015;3;27,77;27,21;0,56
2015;4;28,53;27,73;0,79
2015;5;28,85;27,85;1,01
2015;6;28,9;27,65;1,25
2015;7;28,75;27,26;1,49
2015;8;28,78;26,91;1,88
2015;9;28,92;26,8;2,12
2015;10;29,07;26,75;2,32
2015;11;29,41;26,75;2,67
2015;12;29,26;26,65;2,6
2016;1;29,11;26,45;2,66
2016;2;29;26,66;2,34
2016;3;28,9;27,21;1,7
2016;4;28,73;27,73;0,99
2016;5;28,24;27,85;0,39
2016;6;27,7;27,65;0,05
2016;7;26,82;27,26;-0,44
2016;8;26,28;26,91;-0,63
2016;9;26,15;26,8;-0,65
2016;10;25,98;26,75;-0,78
2016;11;25,95;26,75;-0,8
2016;12;26,1;26,65;-0,55
